time,open,high,low,close,volume
2010-08-23,0.39,1.55,0.35,1.37,
2010-08-24,0.37,7.0,0.37,2.0,
2010-08-25,6.11,6.11,0.6,1.22,
2010-08-26,0.05,2.11,0.05,1.75,
2010-08-27,0.85,4.1,0.27,0.62,
2010-08-30,0.95,3.31,0.33,3.21,
2010-08-31,0.11,1.77,0.11,0.84,
2010-09-01,0.29,0.62,0.15,0.34,
2010-09-02,0.47,0.72,0.25,0.44,
2010-09-03,0.29,0.63,0.19,0.36,
2010-09-07,3.7,3.7,0.9,1.65,
2010-09-08,51.01,51.01,0.55,0.87,
2010-09-09,0.88,0.88,0.35,0.69,
2010-09-10,0.51,1.57,0.36,0.82,
2010-09-13,0.32,0.71,0.23,0.5,
2010-09-14,0.41,1.66,0.41,1.08,
2010-09-15,3.72,7.25,0.88,0.92,
2010-09-16,0.84,1.33,0.66,0.73,
2010-09-17,0.7,0.75,0.16,0.25,
2010-09-20,0.56,0.99,-0.1,0.37,
2010-09-21,0.87,1.61,0.44,1.25,
2010-09-22,1.77,1.77,0.3,1.2,
2010-09-23,0.6,2.07,0.6,1.24,
2010-09-24,497.24,497.24,0.48,0.57,
2010-09-27,0.11,1.16,0.11,1.13,
2010-09-28,0.65,2.15,0.54,0.7,
2010-09-29,0.01,1.4,0.01,1.14,
2010-09-30,3.04,3.04,0.47,1.57,
2010-10-01,0.22,0.87,0.22,0.67,
2010-10-04,1.6,1.86,0.26,1.21,
2010-10-05,2.92,2.92,0.36,0.39,
2010-10-06,0.06,1.39,0.06,1.08,
2010-10-07,0.66,1.22,0.66,0.94,
2010-10-08,0.3,2.05,0.24,1.11,
2010-10-11,0.06,2.46,0.06,1.45,
2010-10-12,0.07,0.61,0.07,0.55,
2010-10-13,3.96,3.96,0.45,1.51,
2010-10-14,2.14,2.77,1.36,1.58,
2010-10-15,2.74,39.16,0.89,1.87,
2010-10-18,0.12,0.97,0.12,0.68,
2010-10-19,2.27,3.36,0.24,1.64,
2010-10-20,15.24,15.24,0.57,1.55,
2010-10-21,2.06,2.06,0.41,1.17,
2010-10-22,0.29,1.11,0.29,0.96,
2010-10-25,0.08,1.05,0.08,0.9,
2010-10-26,2.32,2.49,0.41,0.92,
2010-10-27,0.17,0.81,0.17,0.7,
2010-10-28,2.72,2.72,0.76,1.14,
2010-10-29,6.03,6.03,0.9,1.3,
2010-11-01,0.75,3.01,0.75,1.2,
2010-11-02,1.17,1.8,1.17,1.36,
2010-11-03,6.46,6.54,0.61,0.72,
2010-11-04,7.34,7.34,0.66,0.75,
2010-11-05,0.45,1.62,0.39,0.68,
2010-11-08,0.13,1.57,0.1,0.87,
2010-11-09,0.97,1.6,0.43,1.37,
2010-11-10,0.68,1.06,0.53,0.71,
2010-11-11,2.7,2.7,0.76,0.85,
2010-11-12,0.5,2.24,0.27,1.54,
2010-11-15,0.3,1.01,0.3,0.88,
2010-11-16,0.41,2.17,0.26,1.85,
2010-11-17,0.03,2.03,0.03,1.61,
2010-11-18,41.21,41.21,0.64,1.09,
2010-11-19,137.13,137.13,0.69,0.92,
2010-11-22,6.45,6.45,1.01,1.67,
2010-11-23,0.71,2.6,0.71,2.52,
2010-11-24,6.94,6.94,0.57,0.61,
2010-11-26,0.12,1.83,0.12,1.81,
2010-11-29,0.07,1.78,0.07,0.62,
2010-11-30,0.23,1.33,0.17,0.74,
2010-12-01,0.15,0.58,0.15,0.3,
2010-12-02,0.11,0.54,0.11,0.47,
2010-12-03,0.87,1.4,0.32,0.57,
2010-12-06,0.15,1.26,0.15,1.02,
2010-12-07,0.56,0.56,0.04,0.55,
2010-12-08,0.19,7.89,0.12,0.36,
2010-12-09,13.55,13.55,0.27,0.46,
2010-12-10,0.09,1.13,0.09,0.53,
2010-12-13,0.37,2.42,0.36,0.65,
2010-12-14,1.8,4.01,1.01,1.21,
2010-12-15,0.58,2.36,0.58,1.79,
2010-12-16,0.28,1.81,0.28,0.98,
2010-12-17,1.18,9.04,-42.36,0.71,
2010-12-20,0.41,1.36,0.03,0.49,
2010-12-21,1.17,1.17,0.41,0.54,
2010-12-22,0.42,1.72,0.42,1.24,
2010-12-23,1.38,3.29,1.38,1.8,
2010-12-27,5.64,5.64,0.28,0.75,
2010-12-28,0.22,1.04,0.22,0.73,
2010-12-29,0.01,2.37,0.01,1.13,
2010-12-30,0.18,1.54,0.18,1.3,
2010-12-31,1.64,2.3,0.86,0.97,
2011-01-03,0.03,0.64,0.03,0.6,
2011-01-04,0.9,1.94,0.42,0.64,
2011-01-05,1.75,2.06,0.41,0.52,
2011-01-06,0.32,1.65,0.31,1.33,
2011-01-07,0.23,2.12,0.23,1.18,
2011-01-10,2.01,2.22,0.54,1.3,
2011-01-11,3.01,3.01,0.75,0.87,
2011-01-12,0.59,0.67,0.4,0.5,
2011-01-13,0.33,2.5,0.18,1.43,
2011-01-14,0.1,0.65,0.1,0.51,
2011-01-18,89.57,94.04,2.09,2.2,
2011-01-19,0.58,3.41,0.05,2.81,
2011-01-20,0.68,3.56,0.14,0.57,
2011-01-21,6.64,6.64,0.46,0.91,
2011-01-24,0.07,2.84,0.06,1.64,
2011-01-25,1.27,2.04,0.9,1.93,
2011-01-26,0.57,2.22,0.5,2.18,
2011-01-27,1.63,1.63,0.74,0.79,
2011-01-28,1.42,2.75,0.47,1.36,
2011-01-31,0.8,1.42,0.56,1.25,
2011-02-01,0.28,1.16,0.13,0.84,
2011-02-02,0.52,2.25,0.52,1.56,
2011-02-03,1.58,2.1,0.6,0.87,
2011-02-04,0.19,2.02,0.19,0.82,
2011-02-07,0.29,0.95,0.28,0.73,
2011-02-08,1.96,4.16,0.48,1.19,
2011-02-09,1.34,1.51,0.72,0.9,
2011-02-10,0.14,1.43,0.14,1.17,
2011-02-11,2.81,2.81,0.77,1.03,
2011-02-14,0.55,3.99,0.51,0.85,
2011-02-15,2.96,2.96,0.56,0.78,
2011-02-16,6.7,6.7,0.77,1.36,
2011-02-17,46.66,46.66,0.62,0.84,
2011-02-18,0.02,22.57,-4.34,1.55,
2011-02-22,0.1,1.74,0.1,1.24,
2011-02-23,0.97,6.05,0.54,0.76,
2011-02-24,3.66,3.66,0.71,1.51,
2011-02-25,1.37,6.09,0.35,0.67,
2011-02-28,0.26,2.23,0.26,1.41,
2011-03-01,2.28,2.87,1.08,2.44,
2011-03-02,11.12,11.12,0.56,1.1,
2011-03-03,1.13,1.13,0.27,0.69,
2011-03-04,4.38,4.38,0.76,1.57,
2011-03-07,0.44,2.03,0.44,1.11,
2011-03-08,0.52,1.0,0.52,0.94,
2011-03-09,10.73,10.73,0.32,0.95,
2011-03-10,1.8,3.78,0.79,1.61,
2011-03-11,2.67,2.67,0.22,0.39,
2011-03-14,0.46,1.17,0.46,0.95,
2011-03-15,27.56,27.56,0.67,1.05,
2011-03-16,0.11,5.61,0.11,2.63,
2011-03-17,0.05,1.38,0.05,0.7,
2011-03-18,1.32,1.5,0.45,1.17,
2011-03-21,12.98,12.98,1.85,2.93,
2011-03-22,1.19,15.0,0.5,1.55,
2011-03-23,9.2,9.2,0.75,1.23,
2011-03-24,6.89,6.89,0.56,0.64,
2011-03-25,0.04,1.59,0.04,1.07,
2011-03-28,0.12,1.19,0.12,1.03,
2011-03-29,0.21,3.17,0.21,1.22,
2011-03-30,0.59,2.05,0.59,0.93,
2011-03-31,19.11,19.11,1.5,2.21,
2011-04-01,0.16,1.41,0.16,0.86,
2011-04-05,0.07,0.86,0.07,0.71,
2011-04-06,2.94,2.94,0.52,0.82,
2011-04-07,0.11,1.99,0.11,1.27,
2011-04-08,1.03,1.44,0.54,1.15,
2011-04-11,0.25,1.43,0.25,0.89,
2011-04-12,1.62,1.84,0.47,0.51,
2011-04-13,2.33,2.47,0.72,1.21,
2011-04-14,0.08,1.59,0.08,1.27,
2011-04-15,22.68,22.68,0.03,1.82,
2011-04-18,0.74,15.23,0.09,1.85,
2011-04-19,0.47,1.05,0.38,0.86,
2011-04-20,2.34,2.44,0.69,1.94,
2011-04-21,0.91,1.99,0.45,1.38,
2011-04-25,2.3,2.3,0.48,1.28,
2011-04-26,0.24,1.68,0.24,1.47,
2011-04-27,0.79,1.7,0.38,0.85,
2011-04-28,0.29,1.55,0.24,1.01,
2011-04-29,1.52,1.52,0.75,1.27,
2011-05-02,2.19,2.71,0.78,0.94,
2011-05-03,0.76,0.82,0.08,0.63,
2011-05-04,0.2,2.31,0.2,1.06,
2011-05-05,1.22,1.98,0.9,1.54,
2011-05-06,21.6,21.6,0.14,0.91,
2011-05-09,0.48,1.27,0.39,1.19,
2011-05-10,6.04,6.04,0.85,1.36,
2011-05-11,0.54,2.33,0.54,1.62,
2011-05-12,2.65,2.65,0.8,1.31,
2011-05-13,4.25,4.25,0.84,1.58,
2011-05-16,1.42,1.92,0.37,0.84,
2011-05-17,3.16,3.16,0.39,0.77,
2011-05-18,2.22,2.22,0.91,1.2,
2011-05-19,0.12,2.6,0.12,1.19,
2011-05-20,96.77,96.77,0.53,1.21,
2011-05-23,2.19,2.78,0.42,1.96,
2011-05-24,1.03,1.53,0.49,0.71,
2011-05-25,3.11,5.69,0.93,1.47,
2011-05-26,0.69,1.19,0.29,0.96,
2011-05-27,0.61,2.12,0.61,0.93,
2011-05-31,154.14,154.14,0.91,0.99,
2011-06-01,0.47,4.66,0.47,3.26,
2011-06-02,0.49,1.7,0.13,0.96,
2011-06-03,2.71,3.85,0.5,1.36,
2011-06-06,0.74,3.82,0.74,3.57,
2011-06-07,0.08,4.48,0.08,1.32,
2011-06-08,0.53,1.77,0.53,1.14,
2011-06-09,0.23,1.22,0.23,0.61,
2011-06-10,0.71,2.88,0.65,0.76,
2011-06-13,1.42,1.99,0.51,0.74,
2011-06-14,1.96,3.79,0.35,0.89,
2011-06-15,0.7,33.94,-65.89,2.53,
2011-06-16,0.07,2.0,0.07,0.9,
2011-06-17,1.62,23.66,0.82,1.09,
2011-06-20,0.1,1.35,0.1,1.04,
